index,間取り,主開口方位,地域,断熱性能,断熱位置
0,戸建2F,南,岡山,H4,床断熱
1,戸建2F,南,岡山,H4,基礎断熱
2,戸建2F,南,岡山,H11,床断熱
3,戸建2F,南,岡山,H11,基礎断熱
4,戸建2F,南,岡山,H11超,床断熱
5,戸建2F,南,岡山,H11超,基礎断熱
6,戸建2F,南,岩見沢,H4,床断熱
7,戸建2F,南,岩見沢,H4,基礎断熱
8,戸建2F,南,岩見沢,H11,床断熱
9,戸建2F,南,岩見沢,H11,基礎断熱
10,戸建2F,南,岩見沢,H11超,床断熱
11,戸建2F,南,岩見沢,H11超,基礎断熱
12,戸建2F,南,那覇,H4,床断熱
13,戸建2F,南,那覇,H4,基礎断熱
14,戸建2F,南,那覇,H11,床断熱
15,戸建2F,南,那覇,H11,基礎断熱
16,戸建2F,南,那覇,H11超,床断熱
17,戸建2F,南,那覇,H11超,基礎断熱
18,戸建2F,東,岡山,H4,床断熱
19,戸建2F,東,岡山,H4,基礎断熱
20,戸建2F,東,岡山,H11,床断熱
21,戸建2F,東,岡山,H11,基礎断熱
22,戸建2F,東,岡山,H11超,床断熱
23,戸建2F,東,岡山,H11超,基礎断熱
24,戸建2F,東,岩見沢,H4,床断熱
25,戸建2F,東,岩見沢,H4,基礎断熱
26,戸建2F,東,岩見沢,H11,床断熱
27,戸建2F,東,岩見沢,H11,基礎断熱
28,戸建2F,東,岩見沢,H11超,床断熱
29,戸建2F,東,岩見沢,H11超,基礎断熱
30,戸建2F,東,那覇,H4,床断熱
31,戸建2F,東,那覇,H4,基礎断熱
32,戸建2F,東,那覇,H11,床断熱
33,戸建2F,東,那覇,H11,基礎断熱
34,戸建2F,東,那覇,H11超,床断熱
35,戸建2F,東,那覇,H11超,基礎断熱
36,戸建2F,北,岡山,H4,床断熱
37,戸建2F,北,岡山,H4,基礎断熱
38,戸建2F,北,岡山,H11,床断熱
39,戸建2F,北,岡山,H11,基礎断熱
40,戸建2F,北,岡山,H11超,床断熱
41,戸建2F,北,岡山,H11超,基礎断熱
42,戸建2F,北,岩見沢,H4,床断熱
43,戸建2F,北,岩見沢,H4,基礎断熱
44,戸建2F,北,岩見沢,H11,床断熱
45,戸建2F,北,岩見沢,H11,基礎断熱
46,戸建2F,北,岩見沢,H11超,床断熱
47,戸建2F,北,岩見沢,H11超,基礎断熱
48,戸建2F,北,那覇,H4,床断熱
49,戸建2F,北,那覇,H4,基礎断熱
50,戸建2F,北,那覇,H11,床断熱
51,戸建2F,北,那覇,H11,基礎断熱
52,戸建2F,北,那覇,H11超,床断熱
53,戸建2F,北,那覇,H11超,基礎断熱
54,戸建2F,西,岡山,H4,床断熱
55,戸建2F,西,岡山,H4,基礎断熱
56,戸建2F,西,岡山,H11,床断熱
57,戸建2F,西,岡山,H11,基礎断熱
58,戸建2F,西,岡山,H11超,床断熱
59,戸建2F,西,岡山,H11超,基礎断熱
60,戸建2F,西,岩見沢,H4,床断熱
61,戸建2F,西,岩見沢,H4,基礎断熱
62,戸建2F,西,岩見沢,H11,床断熱
63,戸建2F,西,岩見沢,H11,基礎断熱
64,戸建2F,西,岩見沢,H11超,床断熱
65,戸建2F,西,岩見沢,H11超,基礎断熱
66,戸建2F,西,那覇,H4,床断熱
67,戸建2F,西,那覇,H4,基礎断熱
68,戸建2F,西,那覇,H11,床断熱
69,戸建2F,西,那覇,H11,基礎断熱
70,戸建2F,西,那覇,H11超,床断熱
71,戸建2F,西,那覇,H11超,基礎断熱
72,戸建平屋,南,岡山,H4,床断熱
73,戸建平屋,南,岡山,H4,基礎断熱
74,戸建平屋,南,岡山,H11,床断熱
75,戸建平屋,南,岡山,H11,基礎断熱
76,戸建平屋,南,岡山,H11超,床断熱
77,戸建平屋,南,岡山,H11超,基礎断熱
78,戸建平屋,南,岩見沢,H4,床断熱
79,戸建平屋,南,岩見沢,H4,基礎断熱
80,戸建平屋,南,岩見沢,H11,床断熱
81,戸建平屋,南,岩見沢,H11,基礎断熱
82,戸建平屋,南,岩見沢,H11超,床断熱
83,戸建平屋,南,岩見沢,H11超,基礎断熱
84,戸建平屋,南,那覇,H4,床断熱
85,戸建平屋,南,那覇,H4,基礎断熱
86,戸建平屋,南,那覇,H11,床断熱
87,戸建平屋,南,那覇,H11,基礎断熱
88,戸建平屋,南,那覇,H11超,床断熱
89,戸建平屋,南,那覇,H11超,基礎断熱
90,戸建平屋,東,岡山,H4,床断熱
91,戸建平屋,東,岡山,H4,基礎断熱
92,戸建平屋,東,岡山,H11,床断熱
93,戸建平屋,東,岡山,H11,基礎断熱
94,戸建平屋,東,岡山,H11超,床断熱
95,戸建平屋,東,岡山,H11超,基礎断熱
96,戸建平屋,東,岩見沢,H4,床断熱
97,戸建平屋,東,岩見沢,H4,基礎断熱
98,戸建平屋,東,岩見沢,H11,床断熱
99,戸建平屋,東,岩見沢,H11,基礎断熱
100,戸建平屋,東,岩見沢,H11超,床断熱
101,戸建平屋,東,岩見沢,H11超,基礎断熱
102,戸建平屋,東,那覇,H4,床断熱
103,戸建平屋,東,那覇,H4,基礎断熱
104,戸建平屋,東,那覇,H11,床断熱
105,戸建平屋,東,那覇,H11,基礎断熱
106,戸建平屋,東,那覇,H11超,床断熱
107,戸建平屋,東,那覇,H11超,基礎断熱
108,戸建平屋,北,岡山,H4,床断熱
109,戸建平屋,北,岡山,H4,基礎断熱
110,戸建平屋,北,岡山,H11,床断熱
111,戸建平屋,北,岡山,H11,基礎断熱
112,戸建平屋,北,岡山,H11超,床断熱
113,戸建平屋,北,岡山,H11超,基礎断熱
114,戸建平屋,北,岩見沢,H4,床断熱
115,戸建平屋,北,岩見沢,H4,基礎断熱
116,戸建平屋,北,岩見沢,H11,床断熱
117,戸建平屋,北,岩見沢,H11,基礎断熱
118,戸建平屋,北,岩見沢,H11超,床断熱
119,戸建平屋,北,岩見沢,H11超,基礎断熱
120,戸建平屋,北,那覇,H4,床断熱
121,戸建平屋,北,那覇,H4,基礎断熱
122,戸建平屋,北,那覇,H11,床断熱
123,戸建平屋,北,那覇,H11,基礎断熱
124,戸建平屋,北,那覇,H11超,床断熱
125,戸建平屋,北,那覇,H11超,基礎断熱
126,戸建平屋,西,岡山,H4,床断熱
127,戸建平屋,西,岡山,H4,基礎断熱
128,戸建平屋,西,岡山,H11,床断熱
129,戸建平屋,西,岡山,H11,基礎断熱
130,戸建平屋,西,岡山,H11超,床断熱
131,戸建平屋,西,岡山,H11超,基礎断熱
132,戸建平屋,西,岩見沢,H4,床断熱
133,戸建平屋,西,岩見沢,H4,基礎断熱
134,戸建平屋,西,岩見沢,H11,床断熱
135,戸建平屋,西,岩見沢,H11,基礎断熱
136,戸建平屋,西,岩見沢,H11超,床断熱
137,戸建平屋,西,岩見沢,H11超,基礎断熱
138,戸建平屋,西,那覇,H4,床断熱
139,戸建平屋,西,那覇,H4,基礎断熱
140,戸建平屋,西,那覇,H11,床断熱
141,戸建平屋,西,那覇,H11,基礎断熱
142,戸建平屋,西,那覇,H11超,床断熱
143,戸建平屋,西,那覇,H11超,基礎断熱
144,共同3LDK一般,南,岡山,H4,無
145,共同3LDK一般,南,岡山,H11,無
146,共同3LDK一般,南,岡山,H11超,無
147,共同3LDK一般,南,岩見沢,H4,無
148,共同3LDK一般,南,岩見沢,H11,無
149,共同3LDK一般,南,岩見沢,H11超,無
150,共同3LDK一般,南,那覇,H4,無
151,共同3LDK一般,南,那覇,H11,無
152,共同3LDK一般,南,那覇,H11超,無
153,共同3LDK一般,東,岡山,H4,無
154,共同3LDK一般,東,岡山,H11,無
155,共同3LDK一般,東,岡山,H11超,無
156,共同3LDK一般,東,岩見沢,H4,無
157,共同3LDK一般,東,岩見沢,H11,無
158,共同3LDK一般,東,岩見沢,H11超,無
159,共同3LDK一般,東,那覇,H4,無
160,共同3LDK一般,東,那覇,H11,無
161,共同3LDK一般,東,那覇,H11超,無
162,共同3LDK一般,北,岡山,H4,無
163,共同3LDK一般,北,岡山,H11,無
164,共同3LDK一般,北,岡山,H11超,無
165,共同3LDK一般,北,岩見沢,H4,無
166,共同3LDK一般,北,岩見沢,H11,無
167,共同3LDK一般,北,岩見沢,H11超,無
168,共同3LDK一般,北,那覇,H4,無
169,共同3LDK一般,北,那覇,H11,無
170,共同3LDK一般,北,那覇,H11超,無
171,共同3LDK一般,西,岡山,H4,無
172,共同3LDK一般,西,岡山,H11,無
173,共同3LDK一般,西,岡山,H11超,無
174,共同3LDK一般,西,岩見沢,H4,無
175,共同3LDK一般,西,岩見沢,H11,無
176,共同3LDK一般,西,岩見沢,H11超,無
177,共同3LDK一般,西,那覇,H4,無
178,共同3LDK一般,西,那覇,H11,無
179,共同3LDK一般,西,那覇,H11超,無
